gene,0,4,8
Clk1,8285.285714285714,8551.375,8440.57142857143
Clpx,1898.857142857143,2008.25,2159.8571428571427
Clvs2,310.42857142857144,345.875,342.85714285714283
Cmpk2,566.8571428571429,677.125,745.1428571428571
Cmtm5,2187.8571428571427,1871.5,1144.5714285714287
Cnga3,2.2857142857142856,1.75,2.5714285714285716
Cngb1,18.571428571428573,19.375,22.142857142857142
Cnksr3,3021.714285714286,2843.25,2908.4285714285716
Cnnm3,2204.285714285714,2347.625,2990.285714285714
Cnnm4,1200.142857142857,1104.5,1149.4285714285713
Cnot11,1374.4285714285713,1414.125,1453
Cnp,17341.571428571428,14501.375,11766.857142857143
Cnpy4,558,559.75,403.85714285714283
Cntnap5a,588.8571428571429,594.125,544.7142857142857
Cntnap5b,1015.4285714285714,1050.75,1073
Cog1,2124.4285714285716,2088.375,1779
Col11a2,636.7142857142857,531.75,355.85714285714283
Col19a1,1179.857142857143,1173.75,1215.857142857143
Col25a1,239.71428571428572,301.5,336
Col27a1,1038,991.625,520.1428571428571
Col4a3,94.85714285714286,82.25,96.57142857142857
Col4a4,102.28571428571429,92.125,115.71428571428571
Col4a5,466.85714285714283,406.625,357.57142857142856
Col5a3,288.42857142857144,347.375,588.8571428571429
Col6a1,614.2857142857143,494.75,662.4285714285714
Col6a2,526.8571428571429,365.375,471.42857142857144
Col6a3,105,84.25,100
Colgalt2,135,139.375,135.14285714285714
Colq,176,159.875,97.42857142857143
Coq4,341.7142857142857,321.75,247.28571428571428
Cotl1,3090.4285714285716,3368.5,4461.571428571428
Cox5b,5574.428571428572,5555.125,5529.714285714285
Cox7b2,29.571428571428573,33.875,27.571428571428573
Cp,1341.7142857142858,1522.125,2107
Cpa6,1.8571428571428572,2.5,1.8571428571428572
Cpsf4l,98.85714285714286,71.75,21.571428571428573
Crb1,15.857142857142858,15.375,12.571428571428571
Creg2,369.14285714285717,481.875,511.85714285714283
Crhr1,3114.5714285714284,2956.75,2409.4285714285716
Crip3,41.714285714285715,39.125,13
Cryab,3552.5714285714284,3118,1954.2857142857142
Cryga,0.8571428571428571,1,1.7142857142857142
Csf2ra,552.8571428571429,515.875,316.85714285714283
Csrnp3,1707.142857142857,1719.25,1789
Csrp1,9517.42857142857,9904.125,9133.42857142857
Ctns,1231,1172.25,1050.4285714285713
Ctxn1,224.14285714285714,200,229.71428571428572
Ctxn2,117.28571428571429,147,136.28571428571428
Cul3,8057.142857142857,8218.75,8471.42857142857
Cx3cl1,2632.8571428571427,2628,2376.4285714285716
Cxcr2,3.2857142857142856,5.625,5.142857142857143
Cyhr1,6255.285714285715,6028.125,5295.428571428572
Cyp2d22,1880.142857142857,2349.125,3523.5714285714284
Cyp2j12,153.85714285714286,116.125,92.71428571428571
Cyp3a13,78.57142857142857,105.125,191.71428571428572
Cyp4f15,125,185.625,265.14285714285717
Cyp4v3,627.8571428571429,719.875,870.1428571428571
Cyp51,2741.714285714286,2081.875,1533.7142857142858
D11Wsu47e,244.14285714285714,218.375,198.14285714285714
D2hgdh,434.2857142857143,463.875,409.7142857142857
Dach2,108.28571428571429,83.5,79.28571428571429
Dact2,154.57142857142858,189.875,204.85714285714286
Dars2,710.1428571428571,704.375,676.7142857142857
Daw1,36.57142857142857,30.75,27.571428571428573
Dbpht2,86.14285714285714,89.625,68
Dcaf12,2873,2613.25,2155.5714285714284
Dcaf12l2,12.285714285714286,12.625,12.714285714285714
Dcaf8,7213.857142857143,7834.875,8288.57142857143
Dcakd,1190.5714285714287,1069,820
Dcdc2b,350.14285714285717,336.5,204.42857142857142
Dclk1,18906.571428571428,17062.5,12935.714285714286
Dcst2,16.571428571428573,19.25,46.285714285714285
Ddah1,4525,4265.125,3685.1428571428573
Ddx18,866.4285714285714,869,825.7142857142857
Ddx25,1290,1441,1739.142857142857
Ddx39b,5455.285714285715,5394.875,5701.142857142857
Ddx3x,21087.571428571428,21908.625,24547.285714285714
Ddx3y,1954.5714285714287,2207.25,1995.5714285714287
Deaf1,2032,2198,3000.5714285714284
Dennd1b,962.5714285714286,1001.875,1041.7142857142858
Des,66,76.5,64.14285714285714
Desi1,6355,5762.875,4535
Dffb,373.42857142857144,425.5,463.7142857142857
Dgkb,1276.857142857143,1369.125,1101.4285714285713
Dgkd,10472.57142857143,10153.625,9894.857142857143
Dgkk,59.42857142857143,79.5,76.42857142857143
Dhfr,336.85714285714283,347,350
Dhrs11,481.7142857142857,459.125,477.7142857142857
Dhx9,6575.142857142857,6870.25,6612.714285714285
Dis3l2,877.4285714285714,874.75,895.4285714285714
Dleu2,472.57142857142856,440.375,231.85714285714286
Dnah1,90.85714285714286,87.25,105
Dnah7a,16,15.75,15.571428571428571
Dnah7b,770.4285714285714,752.625,677.8571428571429
Dnajb3,31.285714285714285,28.875,31.571428571428573
Dnase1l2,482.85714285714283,394.75,156.85714285714286
Dnd1,79,75.5,35.57142857142857
Dnm3,10851.142857142857,11806.125,10379.714285714286
Dnm3os,8.857142857142858,5.75,8.571428571428571
Doc2a,89.28571428571429,101.75,139
Dok3,169,156.5,61
Dot1l,6671.142857142857,6623.875,6604.714285714285
Dpf2,3030.1428571428573,2992.625,2674.1428571428573
Dpt,3.5714285714285716,2.75,5.285714285714286
Dpy19l1,2517.1428571428573,2309,1725.142857142857
Drd1,16.285714285714285,17.375,20.714285714285715
Drd4,17.142857142857142,24.25,35.57142857142857
Dsc3,9.428571428571429,10.625,11.714285714285714
Dsel,371.57142857142856,356.125,335.14285714285717
Dtd2,249.71428571428572,259.125,309.85714285714283
Dtx4,1028.7142857142858,1047.875,972.1428571428571
Dusp11,8693.142857142857,8190.5,6449
Dusp19,332.42857142857144,300,186.28571428571428
Dusp27,13,14.125,14.142857142857142
Dynll1,2834.714285714286,2520.375,1728
Dynlt1a,558.8571428571429,522,337.2857142857143
Dyrk3,160,167.125,166.14285714285714
Dytn,2.2857142857142856,2.875,2
Dzank1,7515.714285714285,8278.125,9024.714285714286
E2f6,1948.142857142857,1853,1552.142857142857
E4f1,1231.5714285714287,1224.25,1153.142857142857
Ebp,1172,1087.125,723.1428571428571
Ecel1,44.142857142857146,60.625,47.285714285714285
Echdc1,1530.142857142857,1453,1051.857142857143
Edem3,3841.4285714285716,3914.25,3749.8571428571427
Edn3,341.14285714285717,278.125,195
Ednrb,6617.571428571428,5547.25,4429.428571428572
Eef1b2,3706.4285714285716,3858.25,3826.285714285714
Efhd1,1711,1555.625,1318.142857142857
Egfl6,12.857142857142858,16.375,11.857142857142858
Egfl8,144.28571428571428,124.25,74.14285714285714
Eid2b,740,839.125,1040.2857142857142
Eif2b3,538.1428571428571,563.25,679.2857142857143
Eif2s3x,1956,2022.125,2141.4285714285716
Eif2s3y,1132.857142857143,1488.25,1536.857142857143
Eif4b,8178.428571428572,9278.875,10915.857142857143
Eif5b,4962.714285714285,5258,5209.714285714285
Elfn1,93.14285714285714,101.5,101.57142857142857
Elfn2,976,1046.5,1031.142857142857
Elovl1,800.7142857142857,698,574.2857142857143
Elovl5,4758.571428571428,4435.75,3476.4285714285716
Emc8,3116.1428571428573,3205.125,3731.4285714285716
Emid1,484.57142857142856,367.625,240.57142857142858
Eml1,2906.5714285714284,2632.875,2209.5714285714284
Eml2,2925.8571428571427,3369.25,4551.571428571428
Eml3,1054.5714285714287,1177.375,1723.857142857143
Emp2,1507,1183.625,861.7142857142857
Emx2,5.857142857142857,5.375,12.142857142857142
En1,225.28571428571428,175.375,200.42857142857142
Enpp1,652.5714285714286,511,378.85714285714283
Enpp6,762.4285714285714,493.875,322.14285714285717
Eny2,2632.285714285714,2833,3484.5714285714284
Epc1,2888.8571428571427,2857.625,2875.285714285714
Epha4,1056.2857142857142,1214.375,1052.5714285714287
Eps15,14473.42857142857,13441.75,10924.142857142857
Eps8l1,331.42857142857144,321,299
Erdr1,377.42857142857144,653.125,470.85714285714283
Erich3,689.1428571428571,839.125,743.2857142857143
Ermn,4389.142857142857,3997,2321.1428571428573
Erp44,1922.7142857142858,1812.875,1486.7142857142858
Errfi1,2278.285714285714,2173.5,2358.1428571428573
Etnppl,4516.714285714285,6702.875,8208.142857142857
Etv4,472.57142857142856,360.375,210.71428571428572
Evpl,37.857142857142854,61.5,60.285714285714285
Exd2,2579.5714285714284,2521.125,1541.142857142857
Eya1,336.7142857142857,322.75,352.14285714285717
F3,2508.714285714286,2364.125,3034.5714285714284
F5,861,861,1013.4285714285714
Fa2h,1979.142857142857,1577.875,1094.4285714285713
Fabp7,823,460.375,179.42857142857142
Fads1,8287.142857142857,7433.625,5718.285714285715
Fam117b,4124,4221.375,4295.857142857143
Fam124b,1.5714285714285714,4.125,3
Fam131a,3686.1428571428573,3429.125,3233.8571428571427
Fam131b,8091,8828.75,10757
Fam135a,3242,3176.25,3427.4285714285716
Fam163a,63.142857142857146,76,62.142857142857146
Fam168b,12374.285714285714,12555.625,12023.42857142857
Fam174a,1586.857142857143,1640.875,1627.7142857142858
Fam193b,3012.285714285714,2913.75,2096.5714285714284
Fam20b,3338.285714285714,3491,3385.5714285714284
Fam43b,204.71428571428572,223.75,214
Fam53b,2585.5714285714284,2421.5,2336.8571428571427
Fam78b,1920.2857142857142,1755.25,1454.857142857143
Farp2,327.85714285714283,339.125,329.7142857142857
Fasl,12.714285714285714,12.5,10.714285714285714
Fbll1,307.42857142857144,338.875,302.14285714285717
Fbln5,453.7142857142857,554.375,1541
Fbxl22,294.2857142857143,177.375,41
Fbxo31,2502.285714285714,2652,3433.5714285714284
